student_id,age,gender,state,city_tier,college_tier,branch,degree,cgpa,backlog_history,attendance_percentage,primary_language,DSA_problems_solved,GitHub_repos,hackathons_participated,development_projects_count,AI_ML_projects,internships_completed,resume_score,communication_skills,aptitude_score,mock_interview_score,sleep_hours,screen_time,gaming_hours,study_hours_daily,stress_level,burnout_score,gym_frequency,family_income_lpa,self_learning_hours,motivation_level,placement_status,company_type,work_mode,salary_lpa,interview_rounds_cleared,offer_count,joining_delay_months,layoffs_risk_score,AI_tool_usage_frequency,prompt_engineering_skill,AI_fear_score,adaptability_score
STU00001,22,Male,Karnataka,1,2,Computer Science,MCA,6.71,3,75.5,C++,656,10,2,5,0,1,55,97,100,83,5.7,7.7,1.5,8,71,34,0,5,2.7,60,Placed,Startup,Remote,17.36,4,1,2,62,55,55,19,81
STU00002,20,Male,Tamil Nadu,2,3,AI & DS,BTech,6.14,0,84.4,Rust,619,16,1,7,1,6,100,64,97,80,5.3,8.2,0.1,5.7,52,58,6,2.47,4.3,82,Placed,MNC,Onsite,18.22,3,3,0,55,66,52,54,76
STU00003,23,Female,Uttar Pradesh,3,2,Computer Science,BTech,7.11,0,80.6,Java,674,30,3,10,5,3,100,93,83,81,4.9,8.3,0,7.2,47,50,5,3.65,3.5,50,Placed,Startup,Remote,22.08,1,3,1,79,69,67,49,34
STU00004,25,Male,Maharashtra,2,3,Civil,BTech,7.41,0,69.2,Rust,637,15,3,7,5,3,87,100,96,100,6.4,8.7,2.4,7.7,47,41,2,4.4,3.7,67,Placed,Product-Based,Remote,20.87,2,1,2,44,44,65,61,46
STU00005,25,Female,West Bengal,3,3,Civil,BE,8.29,0,76.6,Java,986,12,0,2,1,1,68,100,84,68,4.8,6.9,3.6,10.2,40,68,2,12.11,4.9,66,Placed,Startup,Onsite,20.57,5,3,5,23,57,67,71,44
STU00006,24,Male,Uttar Pradesh,3,3,Electronics,BE,6.9,0,80.1,Python,686,8,0,6,3,3,93,87,86,70,5.5,7.3,3.6,7.5,32,55,1,12.41,3.6,76,Placed,Startup,Hybrid,17.63,5,2,1,24,66,65,45,78
STU00007,20,Female,Karnataka,2,3,Computer Science,BE,7.66,3,90.1,Java,792,15,2,8,3,5,100,88,63,72,3.5,7.8,3.7,5.9,15,86,1,4.14,6.7,64,Placed,Service-Based,Hybrid,23.14,2,2,5,30,78,80,52,89
STU00008,24,Female,Gujarat,2,3,Computer Science,MCA,5.98,0,78,JavaScript,531,14,4,5,0,2,100,100,84,96,5.1,7.3,0.2,8.7,65,44,3,15.93,2.3,100,Placed,MNC,Hybrid,11.43,5,3,0,5,65,40,40,57
STU00009,20,Male,Karnataka,2,3,Civil,BE,6.7,0,62.6,Rust,575,35,1,10,7,5,100,76,78,77,5.4,11,1.3,6.1,54,12,4,2.9699999999999998,3.8,87,Placed,Service-Based,Onsite,20.7,1,3,4,46,66,100,62,72
STU00010,23,Male,Delhi,3,3,AI & DS,BTech,6.99,0,86.6,Java,771,11,2,3,1,3,84,86,65,83,6,6.4,1.9,8,38,64,0,2.48,4.8,61,Placed,Startup,Hybrid,19.05,1,1,5,0,87,49,45,70
STU00011,21,Male,Karnataka,2,2,Information Technology,BTech,7.47,0,70.4,JavaScript,683,13,3,4,0,1,75,80,100,96,7.9,5.8,3.2,6.4,64,28,5,16.42,1.3,72,Placed,Service-Based,Hybrid,16.43,5,3,0,50,57,72,32,86
STU00012,24,Male,Telangana,1,3,Information Technology,BE,6.64,2,64.3,C++,628,16,4,4,3,0,75,79,100,69,5.8,6.4,2.8,7.7,95,74,5,5.41,3.4,61,Placed,Startup,Onsite,16.96,5,1,5,73,40,72,66,38
STU00013,20,Male,Gujarat,2,2,AI & DS,MCA,8.31,0,68.9,Rust,665,11,4,4,0,4,85,89,100,85,5.9,9.1,0,8.3,62,51,2,3.92,3.9,48,Placed,MNC,Onsite,21.4,2,1,5,32,35,32,44,51
STU00014,22,Male,Tamil Nadu,3,3,Civil,MCA,6.22,2,100,Python,603,11,5,5,5,1,71,84,64,59,5.9,7.4,3.9,6,26,59,1,13.95,3.2,71,Placed,Startup,Hybrid,16.28,1,1,4,21,93,83,44,87
STU00015,23,Female,Uttar Pradesh,1,1,Electronics,MCA,9.9,1,79.7,Rust,867,27,4,9,3,3,96,78,96,93,7.6,8.1,2.5,9.4,90,10,1,12.67,3.2,61,Placed,Startup,Onsite,25.14,3,1,3,19,50,57,14,76
